Pool,Pool Notes,Application,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Finder,1357660608.20,1357660612.26
,,Tweetbot,1357660622.22,1357660626.80
,,Finder,1357660627.31,1357660628.82
,,Google Chrome,1357660629.33,1357660649.23
,,Google Chrome,1357663495.88,1357663522.73
,,Google Chrome,1357663523.75,1357663524.76
,,Tweetbot,1357663525.27,1357663526.79
,,Google Chrome,1357663527.29,1357663538.42
,,Tweetbot,1357663538.93,1357663615.98
,,Google Chrome,1357663616.49,1357663622.07
,,Google Chrome,1357671820.45,1357671837.19
,,Google Chrome,1357671945.93,1357672090.94
,,Google Chrome,1357672149.26,1357672152.81
,,Tweetbot,1357672153.32,1357672164.97
,,Google Chrome,1357672165.48,1357672174.59
,,Google Chrome,1357672176.12,1357672176.63
,,OmniOutliner Pro,1357672177.13,1357672180.67
,,Google Chrome,1357672181.18,1357672182.19
,,OmniOutliner Pro,1357672182.86,1357672187.91
,,Google Chrome,1357672188.41,1357672366.44
,,Tweetbot,1357672368.46,1357672380.62
,,Google Chrome,1357672381.13,1357672679.81
,,Terminal,1357672681.84,1357672706.62
,,Google Chrome,1357672707.13,1357673246.14
,,Google Chrome,1357673273.97,1357673993.73
,,Finder,1357673994.23,1357673994.74
,,Google Chrome,1357673995.24,1357674303.11
,,Google Chrome,1357674304.62,1357674305.13
,,Tweetbot,1357674305.64,1357674306.14
,,Google Chrome,1357674306.64,1357674308.68
,,Tweetbot,1357674309.19,1357674313.76
,,Google Chrome,1357674314.26,1357674314.77
,,Tweetbot,1357674315.29,1357674318.84
,,Google Chrome,1357674319.35,1357674702.80
,,Tweetbot,1357674703.31,1357674754.92
,,Google Chrome,1357674755.42,1357674775.16
,,Google Chrome,1357682225.93,1357682230.48
,,Tweetbot,1357682230.99,1357682252.25
,,Google Chrome,1357682252.76,1357682363.64
,,Tweetbot,1357682364.15,1357682375.33
,,Google Chrome,1357682375.84,1357682403.15
,,Tweetbot,1357682403.65,1357682404.67
,,Google Chrome,1357682405.17,1357682627.06
,,Tweetbot,1357682627.56,1357682630.60
,,Google Chrome,1357682631.11,1357684069.07
,,Tweetbot,1357684069.58,1357684185.16
,,Google Chrome,1357684185.67,1357684193.78
,,Google Chrome,1357684194.79,1357684365.09
,,Preview,1357684365.59,1357684368.13
,,Google Chrome,1357684368.69,1357684369.71
,,Preview,1357684370.23,1357684379.88
,,Google Chrome,1357684380.39,1357684389.52
,,Preview,1357684390.03,1357684392.05
,,Google Chrome,1357684392.56,1357684425.04
,,Preview,1357684425.55,1357684426.57
,,Google Chrome,1357684427.08,1357684428.60
,,Preview,1357684429.11,1357684429.61
,,Google Chrome,1357684430.12,1357684432.66
,,Preview,1357684433.18,1357684433.68
,,Google Chrome,1357684434.19,1357684779.27
,,Preview,1357684779.79,1357684780.30
,,Google Chrome,1357684780.80,1357684781.31
,,Tweetbot,1357684781.82,1357684788.93
,,Google Chrome,1357684789.44,1357684919.65
,,Tweetbot,1357684920.15,1357684931.31
,,Google Chrome,1357684931.82,1357684935.86
,,Tweetbot,1357684936.37,1357684938.90
,,Google Chrome,1357684939.41,1357684947.01
,,Tweetbot,1357684947.51,1357684948.52
,,Google Chrome,1357684949.03,1357684961.19
,,Tweetbot,1357684961.69,1357685123.87
,,Tweetbot,1357685126.40,1357685136.03
,,Google Chrome,1357685136.54,1357685250.13
,,Google Chrome,1357685295.76,1357685309.94
,,Tweetbot,1357685310.45,1357685333.74
,,Google Chrome,1357685334.25,1357685341.87
,,Tweetbot,1357685342.37,1357685346.42
,,Tweetbot,1357685348.95,1357685355.02
,,Google Chrome,1357685355.53,1357685447.25
,,Tweetbot,1357685447.76,1357685451.81
,,Google Chrome,1357685452.32,1357685453.33
,,Google Chrome,1357685454.85,1357685458.40
,,Tweetbot,1357685458.90,1357685464.47
,,Google Chrome,1357685464.98,1357685518.14
,,Tweetbot,1357685518.65,1357685520.17
,,Google Chrome,1357685520.67,1357685536.40
,,Tweetbot,1357685536.91,1357685537.41
,,Google Chrome,1357685537.92,1357685539.95
,,Google Chrome,1357698249.43,1357698722.04
,,Tweetbot,1357698722.55,1357698760.02
,,Tweetbot,1357698761.05,1357698765.61
,,Google Chrome,1357698766.12,1357698828.47
,,Tweetbot,1357698828.97,1357698934.93
,,Google Chrome,1357698935.44,1357699225.30
,,Tweetbot,1357699225.81,1357699226.82
,,Google Chrome,1357699227.33,1357699355.57
,,App Store,1357699361.65,1357699371.30
,,App Store,1357699372.32,1357699373.85
,,ScreenFlow,1357699374.86,1357699377.91
,,App Store,1357699378.42,1357699387.04
,,ScreenFlow,1357699387.55,1357699414.48
,,App Store,1357699414.99,1357699461.14
,,ScreenFlow,1357699461.65,1357699463.69
,,Google Chrome,1357699464.19,1357699510.89
,,Tweetbot,1357699511.39,1357699515.97
,,Google Chrome,1357699516.47,1357699527.63
,,ScreenFlow,1357699528.14,1357699528.65
,,Google Chrome,1357699529.15,1357699548.93
,,ScreenFlow,1357699549.44,1357699551.47
,,Google Chrome,1357699551.97,1357699614.39
,,ScreenFlow,1357699614.90,1357699615.91
,,App Store,1357699616.42,1357699619.47
,,ScreenFlow,1357699619.98,1357699620.49
,,Google Chrome,1357699621.00,1357699634.69
,,ScreenFlow,1357699635.20,1357699635.71
,,App Store,1357699636.22,1357699652.94
,,Google Chrome,1357699653.45,1357699694.57
,,App Store,1357699695.08,1357699705.72
,,ScreenFlow,1357699706.23,1357699710.79
,,finish_installation,1357699716.37,1357699718.40
,,App Store,1357699718.90,1357699720.95
,,Google Chrome,1357699721.45,1357699722.47
,,ScreenFlow,1357699722.98,1357699724.50
,,Google Chrome,1357699725.01,1357699734.66
,,ScreenFlow,1357699735.17,1357699738.74
,,Google Chrome,1357699739.25,1357699789.47
,,ScreenFlow,1357699789.97,1357699807.22
,,Google Chrome,1357699807.72,1357699976.72
,,ScreenFlow,1357699977.23,1357699993.98
,,Finder,1357699994.50,1357700002.11
,,ScreenFlow,1357700002.62,1357700052.82
,,Google Chrome,1357700053.32,1357700173.65
,,ScreenFlow,1357700174.15,1357700298.47
,,ScreenFlow,1357700299.49,1357700387.70
,,App Store,1357700388.21,1357700389.23
,,Tweetbot,1357700390.25,1357700405.47
,,Google Chrome,1357700405.98,1357700462.29
,,Tweetbot,1357700462.80,1357700468.89
,,Google Chrome,1357700469.40,1357700470.42
,,ScreenFlow,1357700470.92,1357700557.06
,,Google Chrome,1357700557.57,1357700691.77
,,ScreenFlow,1357700692.28,1357700693.80
,,Google Chrome,1357700694.31,1357700695.32
,,ScreenFlow,1357700695.83,1357700696.34
,,Google Chrome,1357700696.85,1357700757.63
,,Google Chrome,1357700762.70,1357700764.23
,,ScreenFlow,1357700764.73,1357701028.61
,,Google Chrome,1357701029.12,1357701059.11
,,ScreenFlow,1357701059.61,1357701149.18
,,ScreenFlow,1357701150.70,1357701875.45
,,Google Chrome,1357701875.96,1357701897.74
,,Google Chrome,1357701899.26,1357701900.31
,,ScreenFlow,1357701900.82,1357701907.92
,,Finder,1357701908.43,1357701912.48
,,ScreenFlow,1357701912.98,1357702009.08
,,ScreenFlow,1357702041.86,1357702132.15
,,ScreenFlow,1357736469.28,1357736478.88
,,Finder,1357736479.39,1357736485.46
,,ScreenFlow,1357736485.97,1357736510.15
,,Google Chrome,1357736510.66,1357738069.19
,,Google Chrome,1357740242.05,1357741039.56
,,Google Chrome,1357741104.39,1357741450.70
,,Google Chrome,1357741452.22,1357741455.77
,,Google Chrome,1357741456.79,1357741467.25
,,Google Chrome,1357746677.56,1357747459.05
,,Finder,1357747459.56,1357747462.61
,,Google Chrome,1357747463.12,1357747617.15
,,Google Chrome,1357747618.16,1357747623.24
,,Tweetbot,1357747623.75,1357747625.78
,,Google Chrome,1357747626.28,1357747627.81
,,Tweetbot,1357747628.31,1357747637.45
,,Tweetbot,1357747638.46,1357747681.57
,,Google Chrome,1357747682.08,1357747709.90
,,Tweetbot,1357747710.40,1357747754.45
,,Google Chrome,1357747754.96,1357747925.64
,,Finder,1357747926.15,1357747927.18
,,Google Chrome,1357747927.69,1357748013.48
,,Finder,1357748013.99,1357748018.04
,,Tweetbot,1357748018.55,1357748020.07
,,Google Chrome,1357748020.58,1357748026.68
,,Tweetbot,1357748027.20,1357748059.14
,,Google Chrome,1357748059.65,1357748060.67
,,Google Chrome,1357748061.68,1357748062.19
,,Tweetbot,1357748062.70,1357748072.85
,,Google Chrome,1357748074.37,1357748074.88
,,Tweetbot,1357748075.39,1357748087.09
,,Google Chrome,1357748087.60,1357748088.11
,,Tweetbot,1357748088.61,1357748096.23
,,Google Chrome,1357748096.74,1357748098.26
,,Tweetbot,1357748098.77,1357748204.44
,,Google Chrome,1357748204.95,1357748286.19
,,Tweetbot,1357748286.70,1357748288.73
,,Google Chrome,1357748289.23,1357748289.74
,,Tweetbot,1357748290.25,1357748296.35
,,Google Chrome,1357748296.86,1357748328.35
,,Tweetbot,1357748328.85,1357748329.86
,,Google Chrome,1357748330.37,1357748344.07
,,Finder,1357748344.58,1357748345.09
,,Google Chrome,1357748345.59,1357748431.89
,,Tweetbot,1357748432.39,1357748436.45
,,Google Chrome,1357748436.96,1357748438.99
,,Tweetbot,1357748439.50,1357748449.14
,,Google Chrome,1357748449.64,1357748454.71
,,Tweetbot,1357748455.22,1357748465.87
,,Google Chrome,1357748466.38,1357748477.53
,,Tweetbot,1357748478.04,1357748496.83
,,Google Chrome,1357748497.34,1357748570.47
,,Tweetbot,1357748570.98,1357748578.10
,,Google Chrome,1357748578.61,1357748626.80
,,Tweetbot,1357748627.30,1357748639.49
,,Google Chrome,1357748640.00,1357748646.64
,,Tweetbot,1357748647.15,1357748677.61
,,Google Chrome,1357748678.12,1357748729.92
,,Tweetbot,1357748730.43,1357748737.54
,,Google Chrome,1357748738.04,1357748738.55
,,Google Chrome,1357748740.07,1357748741.09
,,Tweetbot,1357748741.60,1357748745.66
,,Google Chrome,1357748746.17,1357748781.74
,,Tweetbot,1357748782.25,1357748782.76
,,Google Chrome,1357748783.26,1357748838.11
,,Tweetbot,1357748838.62,1357748839.12
,,Google Chrome,1357748839.63,1357748962.59
,,Tweetbot,1357748963.10,1357748967.15
,,Tweetbot,1357748968.18,1357748969.20
,,Google Chrome,1357748969.71,1357749180.38
,,Tweetbot,1357749180.89,1357749196.12
,,Google Chrome,1357749196.62,1357749200.19
,,Google Chrome,1357749201.71,1357749202.22
,,Transmit,1357749202.73,1357749203.23
