Pool,Pool Notes,Application,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Tweetbot,1358524608.28,1358524647.05
,,Google Chrome,1358524647.57,1358524649.65
,,Preview,1358524650.18,1358524661.63
,,Google Chrome,1358524662.15,1358524906.04
,,Tweetbot,1358524906.56,1358524911.76
,,Google Chrome,1358524912.28,1358525184.98
,,Tweetbot,1358525185.50,1358525208.37
,,Tweetbot,1358525211.50,1358525222.95
,,Google Chrome,1358525223.46,1358525234.90
,,Tweetbot,1358525235.42,1358525275.95
,,Google Chrome,1358525279.62,1358525286.40
,,App Store,1358525286.92,1358525324.88
,,Google Chrome,1358525325.40,1358525332.70
,,Tweetbot,1358525333.21,1358525336.85
,,Google Chrome,1358525337.37,1358525438.83
,,Google Chrome,1358525440.40,1358525441.47
,,Google Chrome,1358525443.03,1358525585.15
,,Google Chrome,1358529413.50,1358529415.09
,,Tweetbot,1358529415.61,1358529417.18
,,Google Chrome,1358529417.70,1358529418.22
,,Sublime Text 2,1358529418.74,1358529421.86
,,Google Chrome,1358529422.38,1358529823.25
,,Google Chrome,1358529824.81,1358529826.89
,,Tweetbot,1358529827.40,1358529827.92
,,Google Chrome,1358529828.44,1358529836.78
,,Tweetbot,1358529837.30,1358529862.76
,,Google Chrome,1358529863.28,1358529998.42
,,Tweetbot,1358529998.95,1358530000.51
,,Google Chrome,1358530001.02,1358530049.88
,,Tweetbot,1358530050.40,1358530073.26
,,Google Chrome,1358530073.77,1358530120.00
,,Google Chrome,1358530121.56,1358530145.00
,,Google Chrome,1358530146.55,1358530316.58
,,Tweetbot,1358530317.10,1358530318.67
,,Google Chrome,1358530319.19,1358530355.60
,,Tweetbot,1358530356.12,1358530357.16
,,Google Chrome,1358530357.68,1358530443.56
,,Preview,1358530444.08,1358530447.19
,,Preview,1358530448.23,1358530449.78
,,Google Chrome,1358530450.30,1358530453.43
,,Google Chrome,1358530454.47,1358530457.07
,,Google Chrome,1358530458.11,1358530461.23
,,Google Chrome,1358530462.27,1358530512.15
,,Preview,1358530512.67,1358530513.71
,,Google Chrome,1358530514.23,1358530600.70
,,Google Chrome,1358531899.67,1358531912.74
,,Tweetbot,1358531913.26,1358531915.86
,,Google Chrome,1358531916.38,1358532157.02
,,Preview,1358532157.53,1358532159.61
,,Preview,1358532160.66,1358532161.19
,,Google Chrome,1358532161.71,1358532162.75
,,Preview,1358532163.27,1358532163.80
,,Google Chrome,1358532164.32,1358532166.40
,,Google Chrome,1358532167.44,1358532168.49
,,Google Chrome,1358532169.53,1358532170.07
,,Google Chrome,1358532171.12,1358532172.67
,,Google Chrome,1358532173.71,1358532292.34
,,Google Chrome,1358535733.64,1358535830.77
,,Preview,1358535831.30,1358535832.35
,,Google Chrome,1358535832.87,1358535836.01
,,Sublime Text 2,1358535836.53,1358535837.05
,,Tweetbot,1358535837.57,1358535856.26
,,Google Chrome,1358535856.78,1358535955.52
,,Tweetbot,1358535956.04,1358535962.77
,,Google Chrome,1358535963.30,1358535975.77
,,Tweetbot,1358535976.29,1358535978.88
,,Google Chrome,1358535979.39,1358535983.04
,,Google Chrome,1358535984.08,1358536045.97
